Abraham Lincoln;Hodgenville;UNITED STATES;1809;Male;POLITICIAN
Aristotle;Stageira;Greece;-384;Male;PHILOSOPHER
Ayn Rand;Saint Petersburg;Russia;1905;Female;WRITER
Andre Agassi;Las Vegas;UNITED STATES;1970;Male;TENNIS PLAYER
Aldous Huxley;Godalming;UNITED KINGDOM;1894;Male;WRITER
Andrei Tarkovsky;Zavrazhye;Russia;1932;Male;FILM DIRECTOR
Arthur Schopenhauer;Gdańsk;POLAND;1788;Male;PHILOSOPHER
Albert Einstein;Ulm;Germany;1879;Male;PHYSICIST
Alexander the Great;Pella;Greece;-356;Male;MILITARY PERSONNEL
Alfred Hitchcock;Leytonstone;UNITED KINGDOM;1899;Male;FILM DIRECTOR
Attila the Hun;Hajdúböszörmény;Hungary;406;Male;POLITICIAN
Alfred Nobel;Stockholm;SWEDEN;1833;Male;CHEMIST
Alexander Graham Bell;Edinburgh;UNITED KINGDOM;1847;Male;INVENTOR
Andy Warhol;Pittsburgh;UNITED STATES;1928;Male;ARTIST
Alp Arslan;Other;Unknown;1029;Male;POLITICIAN
Akira Kurosawa;Tokyo;JAPAN;1910;Male;FILM DIRECTOR
Anna Kournikova;Moscow;Russia;1981;Female;TENNIS PLAYER
Andrey Markov;Ryazan;Russia;1856;Male;MATHEMATICIAN
A. A. Milne;Hampstead;UNITED KINGDOM;1882;Male;WRITER
Melvil Dewey;Adams Center;United States;1851;Male;INVENTOR
Albert Speer;Mannheim;GERMANY;1905;Male;ARCHITECT
Ada Lovelace;London;UNITED KINGDOM;1815;Female;MATHEMATICIAN
Albert Camus;Dréan;ALGERIA;1913;Male;WRITER
Agatha Christie;Torquay;UNITED KINGDOM;1890;Female;WRITER
Aaron;Other;Egypt;-1400;Male;RELIGIOUS FIGURE
Allen Ginsberg;Newark;UNITED STATES;1926;Male;WRITER
Anatoly Karpov;Zlatoust;Russia;1951;Male;CHESSMASTER
Aristophanes;Athens;Greece;-446;Male;WRITER
Albert Schweitzer;Kaysersberg;France;1875;Male;PHYSICIAN
Alexis Carrel;Sainte-Foy-lès-Lyon;France;1873;Male;PHYSICIAN
Anatole France;Paris;FRANCE;1844;Male;WRITER
André Gide;Paris;FRANCE;1869;Male;WRITER
Avicenna;Bukhara;UZBEKISTAN;980;Male;PHILOSOPHER
Augustin-Jean Fresnel;Broglie;France;1788;Male;PHYSICIST
Anaximander;Miletus;Turkey;-610;Male;PHILOSOPHER
Aleister Crowley;Royal Leamington Spa;UNITED KINGDOM;1875;Male;RELIGIOUS FIGURE
Alan Turing;Maida Vale;UNITED KINGDOM;1912;Male;COMPUTER SCIENTIST
Alexander Mackenzie;Logierait;UNITED KINGDOM;1822;Male;POLITICIAN
Ashoka;Patna;India;-304;Male;POLITICIAN
